"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "Markdown", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\backend\routes\userRoute.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\backend\server.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 4, 7, 43
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3258, 0, 0, 1, 3259
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\App.css", "PostCSS", 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\Context\StoreContext.jsx", "JavaScript JSX", 0, 0, 104, 0, 0, 0, 0, 2, 18, 124
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\assets\assets.js", "JavaScript", 404, 0, 0, 0, 0, 0, 0, 0, 6, 410
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\ExploreMenu\ExploreMenu.css", "PostCSS", 0, 62, 0, 0, 0, 0, 0, 10, 12, 84
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\ExploreMenu\ExploreMenu.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 2, 5, 37
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\FoodDisplay\FoodDisplay.css", "PostCSS", 0, 52, 0, 0, 0, 0, 0, 7, 10, 69
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\FoodDisplay\FoodDisplay.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 2, 5, 35
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\FoodItem\FoodItem.css", "PostCSS", 0, 89, 0, 0, 0, 0, 0, 10, 15, 114
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\FoodItem\FoodItem.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 0, 3, 9, 65
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\Footer\Footer.css", "PostCSS", 0, 84, 0, 0, 0, 0, 0, 13, 16, 113
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 0, 5, 12, 63
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\Header\Header.css", "PostCSS", 0, 73, 0, 0, 0, 0, 0, 10, 12, 95
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\Header\Header.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 4, 24
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\LoginPopup\LoginPopup.css", "PostCSS", 0, 95, 0, 0, 0, 0, 0, 9, 13, 117
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\LoginPopup\LoginPopup.jsx", "JavaScript JSX", 0, 0, 77, 0, 0, 0, 0, 3, 15, 95
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\Navbar\Navbar.css", "PostCSS", 0, 117, 0, 0, 0, 0, 0, 8, 21, 146
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 8, 13, 77
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\Offers\Offers.css", "PostCSS", 0, 63, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\components\Offers\Offers.jsx", "JavaScript JSX", 0, 0, 32, 0, 0, 0, 0, 5, 14, 51
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\index.css", "PostCSS", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\anand\OneDrive\Documents\FullStackDevelopment\HMFD\frontend\src\pages\Cart\Cart.css", "PostCSS", 0, 140, 0, 0, 0, 0, 0, 16, 25, 181
